UserID,SessionID,Timestamp,EventType,ProductID,Amount,Outcome
1,1,00:27.0,page_view,,,
1,1,01:00.1,page_view,,,
1,1,08:10.6,product_view,prod_8199,,
1,1,32:05.5,add_to_cart,prod_4112,,
1,1,43:01.3,add_to_cart,prod_3354,,
1,1,09:52.0,page_view,,,
1,1,13:26.9,add_to_cart,prod_4965,,
1,1,41:53.1,login,,,
1,1,13:38.0,click,,,
1,2,17:34.5,page_view,,,
1,2,56:23.7,logout,,,
1,2,00:13.0,click,,,
1,2,07:46.9,product_view,prod_2683,,
1,2,47:38.8,page_view,,,
1,2,01:09.5,page_view,,,
1,3,22:41.1,purchase,prod_5244,72.91361870063564,purchase
1,3,23:27.0,login,,,
1,3,58:06.4,click,,,
1,3,33:10.3,product_view,prod_9640,,
1,3,42:42.1,add_to_cart,prod_8364,,
1,3,46:46.4,add_to_cart,prod_9851,,
1,3,04:33.1,page_view,,,
1,3,19:33.0,login,,,
1,3,46:13.9,add_to_cart,prod_6426,,
1,4,08:42.7,product_view,prod_5771,,
1,4,36:29.7,add_to_cart,prod_8066,,
1,4,08:04.3,page_view,,,
1,4,05:11.8,login,,,
1,4,57:26.9,login,,,
1,4,25:49.7,add_to_cart,prod_1102,,
1,4,15:52.1,purchase,prod_9886,7.677937741600427,purchase
1,4,12:05.6,page_view,,,
1,4,15:51.4,add_to_cart,prod_6144,,
1,4,57:34.7,add_to_cart,prod_5644,,
1,5,51:29.4,purchase,prod_6690,149.27004735392265,purchase
1,5,44:57.3,login,,,
1,5,51:05.7,logout,,,
1,5,40:55.4,purchase,prod_9946,359.58913623256626,purchase
1,5,48:43.1,page_view,,,
1,5,02:38.2,click,,,
1,5,03:13.9,product_view,prod_5175,,
1,5,43:05.9,purchase,prod_5113,454.1052765032477,purchase
1,5,31:30.1,purchase,prod_2362,35.606155713957904,purchase
1,6,09:16.2,add_to_cart,prod_4614,,
1,6,21:36.7,product_view,prod_7475,,
1,6,49:15.0,logout,,,
1,6,26:12.1,add_to_cart,prod_3223,,
1,6,56:10.1,add_to_cart,prod_1192,,
1,6,24:04.4,add_to_cart,prod_8028,,
1,6,30:08.6,product_view,prod_9542,,
1,6,07:05.8,page_view,,,
